Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipologia_parc,Nombre_vehicles
2013,1,Ciutat Vella,1,el Raval,Turismes,6238
2013,1,Ciutat Vella,2,el Barri Gòtic,Turismes,6455
2013,1,Ciutat Vella,3,la Barceloneta,Turismes,3543
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,4468
2013,2,Eixample,5,el Fort Pienc,Turismes,11005
2013,2,Eixample,6,la Sagrada Família,Turismes,15711
2013,2,Eixample,7,la Dreta de l'Eixample,Turismes,19410
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,15393
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,21165
2013,2,Eixample,10,Sant Antoni,Turismes,10970
2013,3,Sants-Montjuïc,11,el Poble Sec,Turismes,9281
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Turismes,3551
2013,3,Sants-Montjuïc,13,la Marina de Port,Turismes,10432
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Turismes,5321
2013,3,Sants-Montjuïc,15,Hostafrancs,Turismes,4741
2013,3,Sants-Montjuïc,16,la Bordeta,Turismes,12508
2013,3,Sants-Montjuïc,17,Sants - Badal,Turismes,7503
2013,3,Sants-Montjuïc,18,Sants,Turismes,12406
2013,4,Les Corts,19,les Corts,Turismes,20672
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Turismes,9861
2013,4,Les Corts,21,Pedralbes,Turismes,9595
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Turismes,1797
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Turismes,10394
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Turismes,9723
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Turismes,11360
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Turismes,25105
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Turismes,11389
2013,6,Gràcia,28,Vallcarca i els Penitents,Turismes,5632
2013,6,Gràcia,29,el Coll,Turismes,2204
2013,6,Gràcia,30,la Salut,Turismes,4996
2013,6,Gràcia,31,la Vila de Gràcia,Turismes,13482
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Turismes,11456
2013,7,Horta-Guinardó,33,el Baix Guinardó,Turismes,8253
2013,7,Horta-Guinardó,34,Can Baró,Turismes,2842
2013,7,Horta-Guinardó,35,el Guinardó,Turismes,11672
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Turismes,4013
2013,7,Horta-Guinardó,37,el Carmel,Turismes,9607
2013,7,Horta-Guinardó,38,la Teixonera,Turismes,3717
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Turismes,2809
2013,7,Horta-Guinardó,40,Montbau,Turismes,1749
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Turismes,2123
2013,7,Horta-Guinardó,42,la Clota,Turismes,134
2013,7,Horta-Guinardó,43,Horta,Turismes,9064
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Turismes,8058
2013,8,Nou Barris,45,Porta,Turismes,7643
2013,8,Nou Barris,46,el Turó de la Peira,Turismes,3614
2013,8,Nou Barris,47,Can Peguera,Turismes,604
2013,8,Nou Barris,48,la Guineueta,Turismes,5238
2013,8,Nou Barris,49,Canyelles,Turismes,2848
2013,8,Nou Barris,50,les Roquetes,Turismes,4666
2013,8,Nou Barris,51,Verdun,Turismes,3449
2013,8,Nou Barris,52,la Prosperitat,Turismes,8404
2013,8,Nou Barris,53,la Trinitat Nova,Turismes,1927
2013,8,Nou Barris,54,Torre Baró,Turismes,797
2013,8,Nou Barris,55,Ciutat Meridiana,Turismes,2855
2013,8,Nou Barris,56,Vallbona,Turismes,392
2013,9,Sant Andreu,57,la Trinitat Vella,Turismes,2788
2013,9,Sant Andreu,58,Baró de Viver,Turismes,608
2013,9,Sant Andreu,59,el Bon Pastor,Turismes,4897
2013,9,Sant Andreu,60,Sant Andreu,Turismes,19121
2013,9,Sant Andreu,61,la Sagrera,Turismes,9518
2013,9,Sant Andreu,62,el Congrés i els Indians,Turismes,4017
2013,9,Sant Andreu,63,Navas,Turismes,7378
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Turismes,11928
2013,10,Sant Martí,65,el Clot,Turismes,8496
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Turismes,6563
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Turismes,3725
2013,10,Sant Martí,68,el Poblenou,Turismes,9235
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Turismes,4150
2013,10,Sant Martí,70,el Besòs i el Maresme,Turismes,6073
2013,10,Sant Martí,71,Provençals del Poblenou,Turismes,6883
2013,10,Sant Martí,72,Sant Martí de Provençals,Turismes,8790
2013,10,Sant Martí,73,la Verneda i la Pau,Turismes,9703
2013,99,No consta,99,No consta,Turismes,6076
2013,1,Ciutat Vella,1,el Raval,Motos,2602
2013,1,Ciutat Vella,2,el Barri Gòtic,Motos,4363
2013,1,Ciutat Vella,3,la Barceloneta,Motos,3523
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,2115
2013,2,Eixample,5,el Fort Pienc,Motos,3734
2013,2,Eixample,6,la Sagrada Família,Motos,5906
2013,2,Eixample,7,la Dreta de l'Eixample,Motos,7758
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,6826
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,7821
2013,2,Eixample,10,Sant Antoni,Motos,4212
2013,3,Sants-Montjuïc,11,el Poble Sec,Motos,3584
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Motos,339
2013,3,Sants-Montjuïc,13,la Marina de Port,Motos,2787
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Motos,1210
2013,3,Sants-Montjuïc,15,Hostafrancs,Motos,1497
2013,3,Sants-Montjuïc,16,la Bordeta,Motos,1869
2013,3,Sants-Montjuïc,17,Sants - Badal,Motos,2332
2013,3,Sants-Montjuïc,18,Sants,Motos,4470
2013,4,Les Corts,19,les Corts,Motos,7172
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Motos,3721
2013,4,Les Corts,21,Pedralbes,Motos,2975
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Motos,753
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Motos,5450
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Motos,4315
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Motos,6179
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Motos,12650
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Motos,6014
2013,6,Gràcia,28,Vallcarca i els Penitents,Motos,2524
2013,6,Gràcia,29,el Coll,Motos,1172
2013,6,Gràcia,30,la Salut,Motos,2235
2013,6,Gràcia,31,la Vila de Gràcia,Motos,6874
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Motos,4858
2013,7,Horta-Guinardó,33,el Baix Guinardó,Motos,3267
2013,7,Horta-Guinardó,34,Can Baró,Motos,1319
2013,7,Horta-Guinardó,35,el Guinardó,Motos,4236
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Motos,1725
2013,7,Horta-Guinardó,37,el Carmel,Motos,3598
2013,7,Horta-Guinardó,38,la Teixonera,Motos,1336
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Motos,740
2013,7,Horta-Guinardó,40,Montbau,Motos,467
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Motos,566
2013,7,Horta-Guinardó,42,la Clota,Motos,49
2013,7,Horta-Guinardó,43,Horta,Motos,3078
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Motos,2358
2013,8,Nou Barris,45,Porta,Motos,1806
2013,8,Nou Barris,46,el Turó de la Peira,Motos,1016
2013,8,Nou Barris,47,Can Peguera,Motos,182
2013,8,Nou Barris,48,la Guineueta,Motos,1257
2013,8,Nou Barris,49,Canyelles,Motos,568
2013,8,Nou Barris,50,les Roquetes,Motos,1025
2013,8,Nou Barris,51,Verdun,Motos,792
2013,8,Nou Barris,52,la Prosperitat,Motos,1987
2013,8,Nou Barris,53,la Trinitat Nova,Motos,379
2013,8,Nou Barris,54,Torre Baró,Motos,160
2013,8,Nou Barris,55,Ciutat Meridiana,Motos,395
2013,8,Nou Barris,56,Vallbona,Motos,96
2013,9,Sant Andreu,57,la Trinitat Vella,Motos,580
2013,9,Sant Andreu,58,Baró de Viver,Motos,160
2013,9,Sant Andreu,59,el Bon Pastor,Motos,906
2013,9,Sant Andreu,60,Sant Andreu,Motos,5348
2013,9,Sant Andreu,61,la Sagrera,Motos,2579
2013,9,Sant Andreu,62,el Congrés i els Indians,Motos,1280
2013,9,Sant Andreu,63,Navas,Motos,2215
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Motos,4029
2013,10,Sant Martí,65,el Clot,Motos,2623
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Motos,1693
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Motos,1246
2013,10,Sant Martí,68,el Poblenou,Motos,2913
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Motos,1423
2013,10,Sant Martí,70,el Besòs i el Maresme,Motos,1116
2013,10,Sant Martí,71,Provençals del Poblenou,Motos,1779
2013,10,Sant Martí,72,Sant Martí de Provençals,Motos,2306
2013,10,Sant Martí,73,la Verneda i la Pau,Motos,2098
2013,99,No consta,99,No consta,Motos,2878
2013,1,Ciutat Vella,1,el Raval,Ciclomotors,1719
2013,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,633
2013,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,862
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,954
2013,2,Eixample,5,el Fort Pienc,Ciclomotors,1198
2013,2,Eixample,6,la Sagrada Família,Ciclomotors,1995
2013,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,1795
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,1745
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Ciclomotors,2427
2013,2,Eixample,10,Sant Antoni,Ciclomotors,1440
2013,3,Sants-Montjuïc,11,el Poble Sec,Ciclomotors,1568
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Ciclomotors,105
2013,3,Sants-Montjuïc,13,la Marina de Port,Ciclomotors,1146
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Ciclomotors,448
2013,3,Sants-Montjuïc,15,Hostafrancs,Ciclomotors,596
2013,3,Sants-Montjuïc,16,la Bordeta,Ciclomotors,712
2013,3,Sants-Montjuïc,17,Sants - Badal,Ciclomotors,949
2013,3,Sants-Montjuïc,18,Sants,Ciclomotors,1594
2013,4,Les Corts,19,les Corts,Ciclomotors,1897
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Ciclomotors,972
