Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Cilindrada_motos,Nombre_motos
2015,1,Ciutat Vella,1,el Raval,Fins a 75 cc,106
2015,1,Ciutat Vella,2,el Barri Gòtic,Fins a 75 cc,78
2015,1,Ciutat Vella,3,la Barceloneta,Fins a 75 cc,287
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Fins a 75 cc,137
2015,2,Eixample,5,el Fort Pienc,Fins a 75 cc,174
2015,2,Eixample,6,la Sagrada Família,Fins a 75 cc,210
2015,2,Eixample,7,la Dreta de l'Eixample,Fins a 75 cc,442
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Fins a 75 cc,350
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Fins a 75 cc,387
2015,2,Eixample,10,Sant Antoni,Fins a 75 cc,195
2015,3,Sants-Montjuïc,11,el Poble Sec,Fins a 75 cc,147
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Fins a 75 cc,8
2015,3,Sants-Montjuïc,13,la Marina de Port,Fins a 75 cc,92
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Fins a 75 cc,40
2015,3,Sants-Montjuïc,15,Hostafrancs,Fins a 75 cc,58
2015,3,Sants-Montjuïc,16,la Bordeta,Fins a 75 cc,83
2015,3,Sants-Montjuïc,17,Sants - Badal,Fins a 75 cc,97
2015,3,Sants-Montjuïc,18,Sants,Fins a 75 cc,193
2015,4,Les Corts,19,les Corts,Fins a 75 cc,425
2015,4,Les Corts,20,la Maternitat i Sant Ramon,Fins a 75 cc,209
2015,4,Les Corts,21,Pedralbes,Fins a 75 cc,241
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Fins a 75 cc,40
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Fins a 75 cc,397
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Fins a 75 cc,356
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Fins a 75 cc,481
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Fins a 75 cc,956
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Fins a 75 cc,393
2015,6,Gràcia,28,Vallcarca i els Penitents,Fins a 75 cc,152
2015,6,Gràcia,29,el Coll,Fins a 75 cc,45
2015,6,Gràcia,30,la Salut,Fins a 75 cc,107
2015,6,Gràcia,31,la Vila de Gràcia,Fins a 75 cc,352
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Fins a 75 cc,205
2015,7,Horta-Guinardó,33,el Baix Guinardó,Fins a 75 cc,122
2015,7,Horta-Guinardó,34,Can Baró,Fins a 75 cc,53
2015,7,Horta-Guinardó,35,el Guinardó,Fins a 75 cc,164
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Fins a 75 cc,65
2015,7,Horta-Guinardó,37,el Carmel,Fins a 75 cc,117
2015,7,Horta-Guinardó,38,la Teixonera,Fins a 75 cc,56
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,Fins a 75 cc,33
2015,7,Horta-Guinardó,40,Montbau,Fins a 75 cc,13
2015,7,Horta-Guinardó,41,la Vall d'Hebron,Fins a 75 cc,20
2015,7,Horta-Guinardó,42,la Clota,Fins a 75 cc,4
2015,7,Horta-Guinardó,43,Horta,Fins a 75 cc,118
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Fins a 75 cc,75
2015,8,Nou Barris,45,Porta,Fins a 75 cc,67
2015,8,Nou Barris,46,el Turó de la Peira,Fins a 75 cc,44
2015,8,Nou Barris,47,Can Peguera,Fins a 75 cc,5
2015,8,Nou Barris,48,la Guineueta,Fins a 75 cc,38
2015,8,Nou Barris,49,Canyelles,Fins a 75 cc,20
2015,8,Nou Barris,50,les Roquetes,Fins a 75 cc,37
2015,8,Nou Barris,51,Verdun,Fins a 75 cc,32
2015,8,Nou Barris,52,la Prosperitat,Fins a 75 cc,76
2015,8,Nou Barris,53,la Trinitat Nova,Fins a 75 cc,18
2015,8,Nou Barris,54,Torre Baró,Fins a 75 cc,17
2015,8,Nou Barris,55,Ciutat Meridiana,Fins a 75 cc,10
2015,8,Nou Barris,56,Vallbona,Fins a 75 cc,3
2015,9,Sant Andreu,57,la Trinitat Vella,Fins a 75 cc,16
2015,9,Sant Andreu,58,Baró de Viver,Fins a 75 cc,6
2015,9,Sant Andreu,59,el Bon Pastor,Fins a 75 cc,25
2015,9,Sant Andreu,60,Sant Andreu,Fins a 75 cc,175
2015,9,Sant Andreu,61,la Sagrera,Fins a 75 cc,105
2015,9,Sant Andreu,62,el Congrés i els Indians,Fins a 75 cc,50
2015,9,Sant Andreu,63,Navas,Fins a 75 cc,82
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,Fins a 75 cc,173
2015,10,Sant Martí,65,el Clot,Fins a 75 cc,71
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Fins a 75 cc,68
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,Fins a 75 cc,33
2015,10,Sant Martí,68,el Poblenou,Fins a 75 cc,91
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Fins a 75 cc,30
2015,10,Sant Martí,70,el Besòs i el Maresme,Fins a 75 cc,33
2015,10,Sant Martí,71,Provençals del Poblenou,Fins a 75 cc,54
2015,10,Sant Martí,72,Sant Martí de Provençals,Fins a 75 cc,82
2015,10,Sant Martí,73,la Verneda i la Pau,Fins a 75 cc,91
2015,99,No consta,99,No consta,Fins a 75 cc,71
2015,1,Ciutat Vella,1,el Raval,75 a 125 cc,1508
2015,1,Ciutat Vella,2,el Barri Gòtic,75 a 125 cc,2500
2015,1,Ciutat Vella,3,la Barceloneta,75 a 125 cc,1058
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",75 a 125 cc,1232
2015,2,Eixample,5,el Fort Pienc,75 a 125 cc,2079
2015,2,Eixample,6,la Sagrada Família,75 a 125 cc,3391
2015,2,Eixample,7,la Dreta de l'Eixample,75 a 125 cc,4340
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,75 a 125 cc,3712
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,75 a 125 cc,4345
2015,2,Eixample,10,Sant Antoni,75 a 125 cc,2382
2015,3,Sants-Montjuïc,11,el Poble Sec,75 a 125 cc,1963
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,75 a 125 cc,191
2015,3,Sants-Montjuïc,13,la Marina de Port,75 a 125 cc,1672
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,75 a 125 cc,677
