Any,Codi_Districte,Nom_Districte,Codi_Barri,Desc_Barri,Cilindrada_motos,Nombre_motos
2018,1,Ciutat Vella,1,el Raval,Fins a 75 cc,91
2018,1,Ciutat Vella,2,el Barri Gòtic,Fins a 75 cc,151
2018,1,Ciutat Vella,3,la Barceloneta,Fins a 75 cc,192
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Fins a 75 cc,225
2018,2,Eixample,5,el Fort Pienc,Fins a 75 cc,165
2018,2,Eixample,6,la Sagrada Família,Fins a 75 cc,269
2018,2,Eixample,7,la Dreta de l'Eixample,Fins a 75 cc,450
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Fins a 75 cc,329
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Fins a 75 cc,361
2018,2,Eixample,10,Sant Antoni,Fins a 75 cc,196
2018,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Fins a 75 cc,139
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermelll - AEI Zona Franca,Fins a 75 cc,10
2018,3,Sants-Montjuïc,13,la Marina de Port,Fins a 75 cc,86
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,Fins a 75 cc,36
2018,3,Sants-Montjuïc,15,Hostafrancs,Fins a 75 cc,50
2018,3,Sants-Montjuïc,16,la Bordeta,Fins a 75 cc,78
2018,3,Sants-Montjuïc,17,Sants - Badal,Fins a 75 cc,83
2018,3,Sants-Montjuïc,18,Sants,Fins a 75 cc,198
2018,4,Les Corts,19,les Corts,Fins a 75 cc,390
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Fins a 75 cc,196
2018,4,Les Corts,21,Pedralbes,Fins a 75 cc,253
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Fins a 75 cc,45
2018,5,Sarrià-Sant Gervasi,23,Sarrià,Fins a 75 cc,403
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,Fins a 75 cc,344
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Fins a 75 cc,815
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Fins a 75 cc,1068
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Fins a 75 cc,372
2018,6,Gràcia,28,Vallcarca i els Penitents,Fins a 75 cc,147
