Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipus_propietari,Nombre_turismes
2013,1,Ciutat Vella,1,el Raval,Persona física,5599
2013,1,Ciutat Vella,2,el Barri Gòtic,Persona física,2415
2013,1,Ciutat Vella,3,la Barceloneta,Persona física,3305
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Persona física,3865
2013,2,Eixample,5,el Fort Pienc,Persona física,9151
2013,2,Eixample,6,la Sagrada Família,Persona física,14434
2013,2,Eixample,7,la Dreta de l'Eixample,Persona física,12642
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Persona física,11439
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Persona física,17604
2013,2,Eixample,10,Sant Antoni,Persona física,9755
2013,3,Sants-Montjuïc,11,el Poble Sec,Persona física,8770
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Persona física,594
2013,3,Sants-Montjuïc,13,la Marina de Port,Persona física,9369
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Persona física,3059
2013,3,Sants-Montjuïc,15,Hostafrancs,Persona física,4382
2013,3,Sants-Montjuïc,16,la Bordeta,Persona física,5610
2013,3,Sants-Montjuïc,17,Sants - Badal,Persona física,7053
2013,3,Sants-Montjuïc,18,Sants,Persona física,11465
2013,4,Les Corts,19,les Corts,Persona física,16847
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Persona física,8885
2013,4,Les Corts,21,Pedralbes,Persona física,6051
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Persona física,1686
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Persona física,9255
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Persona física,7247
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Persona física,10012
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Persona física,19018
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Persona física,10060
2013,6,Gràcia,28,Vallcarca i els Penitents,Persona física,5251
2013,6,Gràcia,29,el Coll,Persona física,2112
2013,6,Gràcia,30,la Salut,Persona física,4702
2013,6,Gràcia,31,la Vila de Gràcia,Persona física,11851
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Persona física,10687
2013,7,Horta-Guinardó,33,el Baix Guinardó,Persona física,7742
2013,7,Horta-Guinardó,34,Can Baró,Persona física,2711
2013,7,Horta-Guinardó,35,el Guinardó,Persona física,10973
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Persona física,3838
2013,7,Horta-Guinardó,37,el Carmel,Persona física,9423
2013,7,Horta-Guinardó,38,la Teixonera,Persona física,3574
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Persona física,2460
2013,7,Horta-Guinardó,40,Montbau,Persona física,1707
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Persona física,1974
2013,7,Horta-Guinardó,42,la Clota,Persona física,109
2013,7,Horta-Guinardó,43,Horta,Persona física,8701
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Persona física,7601
2013,8,Nou Barris,45,Porta,Persona física,7096
2013,8,Nou Barris,46,el Turó de la Peira,Persona física,3552
2013,8,Nou Barris,47,Can Peguera,Persona física,594
2013,8,Nou Barris,48,la Guineueta,Persona física,5059
2013,8,Nou Barris,49,Canyelles,Persona física,2813
2013,8,Nou Barris,50,les Roquetes,Persona física,4553
2013,8,Nou Barris,51,Verdun,Persona física,3374
2013,8,Nou Barris,52,la Prosperitat,Persona física,8129
2013,8,Nou Barris,53,la Trinitat Nova,Persona física,1897
2013,8,Nou Barris,54,Torre Baró,Persona física,784
2013,8,Nou Barris,55,Ciutat Meridiana,Persona física,2830
2013,8,Nou Barris,56,Vallbona,Persona física,388
2013,9,Sant Andreu,57,la Trinitat Vella,Persona física,2711
2013,9,Sant Andreu,58,Baró de Viver,Persona física,596
2013,9,Sant Andreu,59,el Bon Pastor,Persona física,3573
2013,9,Sant Andreu,60,Sant Andreu,Persona física,18172
2013,9,Sant Andreu,61,la Sagrera,Persona física,8923
2013,9,Sant Andreu,62,el Congrés i els Indians,Persona física,3820
2013,9,Sant Andreu,63,Navas,Persona física,6718
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Persona física,11242
2013,10,Sant Martí,65,el Clot,Persona física,8112
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Persona física,4425
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Persona física,3154
2013,10,Sant Martí,68,el Poblenou,Persona física,8523
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Persona física,3876
2013,10,Sant Martí,70,el Besòs i el Maresme,Persona física,5835
2013,10,Sant Martí,71,Provençals del Poblenou,Persona física,6196
