Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_Vehicles,Desc_tipus_propietari,Nombre
2016,NC,No consta,NC,No consta,NC,Turismes,Subjecte Jurídic,87
2016,NC,No consta,NC,No consta,NC,Turismes,Subjecte Físic,493
2016,NC,No consta,NC,No consta,NC,Turismes,Altres,1
2016,NC,No consta,NC,No consta,NC,Motos,Subjecte Jurídic,27
2016,NC,No consta,NC,No consta,NC,Motos,Subjecte Físic,249
2016,1,Ciutat Vella,1,el Raval,1,Turismes,Subjecte Jurídic,111
2016,1,Ciutat Vella,1,el Raval,1,Turismes,Subjecte Físic,218
2016,1,Ciutat Vella,1,el Raval,1,Motos,Subjecte Jurídic,20
2016,1,Ciutat Vella,1,el Raval,1,Motos,Subjecte Físic,84
2016,1,Ciutat Vella,1,el Raval,2,Turismes,Subjecte Jurídic,17
2016,1,Ciutat Vella,1,el Raval,2,Turismes,Subjecte Físic,182
2016,1,Ciutat Vella,1,el Raval,2,Motos,Subjecte Jurídic,6
2016,1,Ciutat Vella,1,el Raval,2,Motos,Subjecte Físic,71
2016,1,Ciutat Vella,1,el Raval,3,Turismes,Subjecte Jurídic,22
2016,1,Ciutat Vella,1,el Raval,3,Turismes,Subjecte Físic,358
2016,1,Ciutat Vella,1,el Raval,3,Motos,Subjecte Jurídic,4
2016,1,Ciutat Vella,1,el Raval,3,Motos,Subjecte Físic,144
2016,1,Ciutat Vella,1,el Raval,4,Turismes,Subjecte Jurídic,19
2016,1,Ciutat Vella,1,el Raval,4,Turismes,Subjecte Físic,374
2016,1,Ciutat Vella,1,el Raval,4,Turismes,Altres,2
2016,1,Ciutat Vella,1,el Raval,4,Motos,Subjecte Jurídic,12
2016,1,Ciutat Vella,1,el Raval,4,Motos,Subjecte Físic,207
2016,1,Ciutat Vella,1,el Raval,5,Turismes,Subjecte Jurídic,31
2016,1,Ciutat Vella,1,el Raval,5,Turismes,Subjecte Físic,258
2016,1,Ciutat Vella,1,el Raval,5,Motos,Subjecte Jurídic,17
2016,1,Ciutat Vella,1,el Raval,5,Motos,Subjecte Físic,130
2016,1,Ciutat Vella,1,el Raval,6,Turismes,Subjecte Jurídic,13
2016,1,Ciutat Vella,1,el Raval,6,Turismes,Subjecte Físic,183
2016,1,Ciutat Vella,1,el Raval,6,Motos,Subjecte Físic,84
2016,1,Ciutat Vella,1,el Raval,7,Turismes,Subjecte Jurídic,12
2016,1,Ciutat Vella,1,el Raval,7,Turismes,Subjecte Físic,231
2016,1,Ciutat Vella,1,el Raval,7,Motos,Subjecte Jurídic,4
2016,1,Ciutat Vella,1,el Raval,7,Motos,Subjecte Físic,93
2016,1,Ciutat Vella,1,el Raval,8,Turismes,Subjecte Jurídic,7
2016,1,Ciutat Vella,1,el Raval,8,Turismes,Subjecte Físic,295
2016,1,Ciutat Vella,1,el Raval,8,Motos,Subjecte Jurídic,2
2016,1,Ciutat Vella,1,el Raval,8,Motos,Subjecte Físic,137
2016,1,Ciutat Vella,1,el Raval,9,Turismes,Subjecte Jurídic,11
2016,1,Ciutat Vella,1,el Raval,9,Turismes,Subjecte Físic,224
2016,1,Ciutat Vella,1,el Raval,9,Motos,Subjecte Jurídic,4
2016,1,Ciutat Vella,1,el Raval,9,Motos,Subjecte Físic,125
2016,1,Ciutat Vella,1,el Raval,10,Turismes,Subjecte Jurídic,8
2016,1,Ciutat Vella,1,el Raval,10,Turismes,Subjecte Físic,237
2016,1,Ciutat Vella,1,el Raval,10,Motos,Subjecte Jurídic,7
2016,1,Ciutat Vella,1,el Raval,10,Motos,Subjecte Físic,97
2016,1,Ciutat Vella,1,el Raval,11,Turismes,Subjecte Jurídic,46
2016,1,Ciutat Vella,1,el Raval,11,Turismes,Subjecte Físic,286
2016,1,Ciutat Vella,1,el Raval,11,Motos,Subjecte Jurídic,7
2016,1,Ciutat Vella,1,el Raval,11,Motos,Subjecte Físic,133
2016,1,Ciutat Vella,1,el Raval,12,Turismes,Subjecte Jurídic,12
2016,1,Ciutat Vella,1,el Raval,12,Turismes,Subjecte Físic,189
2016,1,Ciutat Vella,1,el Raval,12,Motos,Subjecte Jurídic,5
2016,1,Ciutat Vella,1,el Raval,12,Motos,Subjecte Físic,126
2016,1,Ciutat Vella,1,el Raval,13,Turismes,Subjecte Jurídic,10
2016,1,Ciutat Vella,1,el Raval,13,Turismes,Subjecte Físic,191
2016,1,Ciutat Vella,1,el Raval,13,Motos,Subjecte Jurídic,2
2016,1,Ciutat Vella,1,el Raval,13,Motos,Subjecte Físic,80
2016,1,Ciutat Vella,1,el Raval,14,Turismes,Subjecte Jurídic,10
2016,1,Ciutat Vella,1,el Raval,14,Turismes,Subjecte Físic,165
2016,1,Ciutat Vella,1,el Raval,14,Motos,Subjecte Jurídic,1
2016,1,Ciutat Vella,1,el Raval,14,Motos,Subjecte Físic,94
2016,1,Ciutat Vella,1,el Raval,15,Turismes,Subjecte Jurídic,29
2016,1,Ciutat Vella,1,el Raval,15,Turismes,Subjecte Físic,205
2016,1,Ciutat Vella,1,el Raval,15,Motos,Subjecte Jurídic,11
2016,1,Ciutat Vella,1,el Raval,15,Motos,Subjecte Físic,108
2016,1,Ciutat Vella,1,el Raval,16,Turismes,Subjecte Jurídic,16
2016,1,Ciutat Vella,1,el Raval,16,Turismes,Subjecte Físic,144
2016,1,Ciutat Vella,1,el Raval,16,Motos,Subjecte Jurídic,22
2016,1,Ciutat Vella,1,el Raval,16,Motos,Subjecte Físic,107
2016,1,Ciutat Vella,1,el Raval,17,Turismes,Subjecte Jurídic,29
2016,1,Ciutat Vella,1,el Raval,17,Turismes,Subjecte Físic,199
2016,1,Ciutat Vella,1,el Raval,17,Motos,Subjecte Jurídic,9
2016,1,Ciutat Vella,1,el Raval,17,Motos,Subjecte Físic,122
2016,1,Ciutat Vella,1,el Raval,18,Turismes,Subjecte Jurídic,7
2016,1,Ciutat Vella,1,el Raval,18,Turismes,Subjecte Físic,158
2016,1,Ciutat Vella,1,el Raval,18,Motos,Subjecte Jurídic,13
2016,1,Ciutat Vella,1,el Raval,18,Motos,Subjecte Físic,77
2016,1,Ciutat Vella,1,el Raval,19,Turismes,Subjecte Jurídic,25
2016,1,Ciutat Vella,1,el Raval,19,Turismes,Subjecte Físic,315
2016,1,Ciutat Vella,1,el Raval,19,Turismes,Altres,2
2016,1,Ciutat Vella,1,el Raval,19,Motos,Subjecte Jurídic,9
2016,1,Ciutat Vella,1,el Raval,19,Motos,Subjecte Físic,148
2016,1,Ciutat Vella,1,el Raval,20,Turismes,Subjecte Jurídic,54
2016,1,Ciutat Vella,1,el Raval,20,Turismes,Subjecte Físic,302
2016,1,Ciutat Vella,1,el Raval,20,Motos,Subjecte Jurídic,14
2016,1,Ciutat Vella,1,el Raval,20,Motos,Subjecte Físic,187
2016,1,Ciutat Vella,1,el Raval,21,Turismes,Subjecte Jurídic,105
2016,1,Ciutat Vella,1,el Raval,21,Turismes,Subjecte Físic,279
2016,1,Ciutat Vella,1,el Raval,21,Motos,Subjecte Jurídic,38
2016,1,Ciutat Vella,1,el Raval,21,Motos,Subjecte Físic,145
2016,1,Ciutat Vella,2,el Barri Gòtic,22,Turismes,Subjecte Jurídic,54
2016,1,Ciutat Vella,2,el Barri Gòtic,22,Turismes,Subjecte Físic,215
2016,1,Ciutat Vella,2,el Barri Gòtic,22,Motos,Subjecte Jurídic,14
2016,1,Ciutat Vella,2,el Barri Gòtic,22,Motos,Subjecte Físic,114
2016,1,Ciutat Vella,2,el Barri Gòtic,23,Turismes,Subjecte Jurídic,138
2016,1,Ciutat Vella,2,el Barri Gòtic,23,Turismes,Subjecte Físic,328
2016,1,Ciutat Vella,2,el Barri Gòtic,23,Motos,Subjecte Jurídic,45
2016,1,Ciutat Vella,2,el Barri Gòtic,23,Motos,Subjecte Físic,205
2016,1,Ciutat Vella,2,el Barri Gòtic,25,Turismes,Subjecte Jurídic,1992
2016,1,Ciutat Vella,2,el Barri Gòtic,25,Turismes,Subjecte Físic,168
2016,1,Ciutat Vella,2,el Barri Gòtic,25,Motos,Subjecte Jurídic,562
2016,1,Ciutat Vella,2,el Barri Gòtic,25,Motos,Subjecte Físic,107
2016,1,Ciutat Vella,2,el Barri Gòtic,26,Turismes,Subjecte Jurídic,84
2016,1,Ciutat Vella,2,el Barri Gòtic,26,Turismes,Subjecte Físic,224
2016,1,Ciutat Vella,2,el Barri Gòtic,26,Motos,Subjecte Jurídic,974
2016,1,Ciutat Vella,2,el Barri Gòtic,26,Motos,Subjecte Físic,153
2016,1,Ciutat Vella,2,el Barri Gòtic,27,Turismes,Subjecte Jurídic,242
2016,1,Ciutat Vella,2,el Barri Gòtic,27,Turismes,Subjecte Físic,250
2016,1,Ciutat Vella,2,el Barri Gòtic,27,Motos,Subjecte Jurídic,608
2016,1,Ciutat Vella,2,el Barri Gòtic,27,Motos,Subjecte Físic,157
2016,1,Ciutat Vella,2,el Barri Gòtic,28,Turismes,Subjecte Jurídic,54
2016,1,Ciutat Vella,2,el Barri Gòtic,28,Turismes,Subjecte Físic,267
2016,1,Ciutat Vella,2,el Barri Gòtic,28,Motos,Subjecte Jurídic,24
2016,1,Ciutat Vella,2,el Barri Gòtic,28,Motos,Subjecte Físic,163
2016,1,Ciutat Vella,2,el Barri Gòtic,29,Turismes,Subjecte Jurídic,30
2016,1,Ciutat Vella,2,el Barri Gòtic,29,Turismes,Subjecte Físic,169
2016,1,Ciutat Vella,2,el Barri Gòtic,29,Turismes,Altres,1
2016,1,Ciutat Vella,2,el Barri Gòtic,29,Motos,Subjecte Jurídic,16
2016,1,Ciutat Vella,2,el Barri Gòtic,29,Motos,Subjecte Físic,126
2016,1,Ciutat Vella,2,el Barri Gòtic,30,Turismes,Subjecte Jurídic,128
2016,1,Ciutat Vella,2,el Barri Gòtic,30,Turismes,Subjecte Físic,328
2016,1,Ciutat Vella,2,el Barri Gòtic,30,Motos,Subjecte Jurídic,356
2016,1,Ciutat Vella,2,el Barri Gòtic,30,Motos,Subjecte Físic,176
2016,1,Ciutat Vella,2,el Barri Gòtic,31,Turismes,Subjecte Jurídic,88
2016,1,Ciutat Vella,2,el Barri Gòtic,31,Turismes,Subjecte Físic,229
2016,1,Ciutat Vella,2,el Barri Gòtic,31,Motos,Subjecte Jurídic,102
2016,1,Ciutat Vella,2,el Barri Gòtic,31,Motos,Subjecte Físic,134
2016,1,Ciutat Vella,3,la Barceloneta,32,Turismes,Subjecte Jurídic,78
2016,1,Ciutat Vella,3,la Barceloneta,32,Turismes,Subjecte Físic,406
2016,1,Ciutat Vella,3,la Barceloneta,32,Motos,Subjecte Jurídic,306
2016,1,Ciutat Vella,3,la Barceloneta,32,Motos,Subjecte Físic,212
2016,1,Ciutat Vella,3,la Barceloneta,33,Turismes,Subjecte Jurídic,3
2016,1,Ciutat Vella,3,la Barceloneta,33,Turismes,Subjecte Físic,212
2016,1,Ciutat Vella,3,la Barceloneta,33,Motos,Subjecte Jurídic,3
2016,1,Ciutat Vella,3,la Barceloneta,33,Motos,Subjecte Físic,122
2016,1,Ciutat Vella,3,la Barceloneta,34,Turismes,Subjecte Jurídic,1
2016,1,Ciutat Vella,3,la Barceloneta,34,Turismes,Subjecte Físic,205
2016,1,Ciutat Vella,3,la Barceloneta,34,Turismes,Altres,1
2016,1,Ciutat Vella,3,la Barceloneta,34,Motos,Subjecte Jurídic,1
2016,1,Ciutat Vella,3,la Barceloneta,34,Motos,Subjecte Físic,99
2016,1,Ciutat Vella,3,la Barceloneta,35,Turismes,Subjecte Jurídic,15
2016,1,Ciutat Vella,3,la Barceloneta,35,Turismes,Subjecte Físic,238
2016,1,Ciutat Vella,3,la Barceloneta,35,Motos,Subjecte Jurídic,1
2016,1,Ciutat Vella,3,la Barceloneta,35,Motos,Subjecte Físic,89
2016,1,Ciutat Vella,3,la Barceloneta,36,Turismes,Subjecte Jurídic,29
2016,1,Ciutat Vella,3,la Barceloneta,36,Turismes,Subjecte Físic,237
2016,1,Ciutat Vella,3,la Barceloneta,36,Motos,Subjecte Jurídic,4
2016,1,Ciutat Vella,3,la Barceloneta,36,Motos,Subjecte Físic,100
2016,1,Ciutat Vella,3,la Barceloneta,37,Turismes,Subjecte Jurídic,4
2016,1,Ciutat Vella,3,la Barceloneta,37,Turismes,Subjecte Físic,293
2016,1,Ciutat Vella,3,la Barceloneta,37,Motos,Subjecte Jurídic,1
2016,1,Ciutat Vella,3,la Barceloneta,37,Motos,Subjecte Físic,130
2016,1,Ciutat Vella,3,la Barceloneta,38,Turismes,Subjecte Jurídic,13
2016,1,Ciutat Vella,3,la Barceloneta,38,Turismes,Subjecte Físic,250
2016,1,Ciutat Vella,3,la Barceloneta,38,Motos,Subjecte Físic,110
2016,1,Ciutat Vella,3,la Barceloneta,39,Turismes,Subjecte Jurídic,47
2016,1,Ciutat Vella,3,la Barceloneta,39,Turismes,Subjecte Físic,272
2016,1,Ciutat Vella,3,la Barceloneta,39,Motos,Subjecte Jurídic,1
2016,1,Ciutat Vella,3,la Barceloneta,39,Motos,Subjecte Físic,148
2016,1,Ciutat Vella,3,la Barceloneta,40,Turismes,Subjecte Jurídic,20
2016,1,Ciutat Vella,3,la Barceloneta,40,Turismes,Subjecte Físic,235
2016,1,Ciutat Vella,3,la Barceloneta,40,Motos,Subjecte Jurídic,17
2016,1,Ciutat Vella,3,la Barceloneta,40,Motos,Subjecte Físic,112
2016,1,Ciutat Vella,3,la Barceloneta,41,Turismes,Subjecte Jurídic,18
2016,1,Ciutat Vella,3,la Barceloneta,41,Turismes,Subjecte Físic,271
2016,1,Ciutat Vella,3,la Barceloneta,41,Motos,Subjecte Jurídic,7
2016,1,Ciutat Vella,3,la Barceloneta,41,Motos,Subjecte Físic,175
2016,1,Ciutat Vella,3,la Barceloneta,42,Turismes,Subjecte Jurídic,21
2016,1,Ciutat Vella,3,la Barceloneta,42,Turismes,Subjecte Físic,363
2016,1,Ciutat Vella,3,la Barceloneta,42,Motos,Subjecte Jurídic,4
2016,1,Ciutat Vella,3,la Barceloneta,42,Motos,Subjecte Físic,146
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Turismes,Subjecte Jurídic,54
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Turismes,Subjecte Físic,270
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Motos,Subjecte Jurídic,67
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Motos,Subjecte Físic,171
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Turismes,Subjecte Jurídic,65
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Turismes,Subjecte Físic,258
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Motos,Subjecte Jurídic,21
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Motos,Subjecte Físic,191
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Turismes,Subjecte Jurídic,43
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Turismes,Subjecte Físic,295
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Motos,Subjecte Jurídic,9
