Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_motos
2017,1,Ciutat Vella,1,el Raval,Menys d'un any d'antiguitat,178
2017,1,Ciutat Vella,2,el Barri Gòtic,Menys d'un any d'antiguitat,124
2017,1,Ciutat Vella,3,la Barceloneta,Menys d'un any d'antiguitat,97
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Menys d'un any d'antiguitat,188
2017,2,Eixample,5,el Fort Pienc,Menys d'un any d'antiguitat,216
2017,2,Eixample,6,la Sagrada Família,Menys d'un any d'antiguitat,398
2017,2,Eixample,7,la Dreta de l'Eixample,Menys d'un any d'antiguitat,477
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Menys d'un any d'antiguitat,482
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Menys d'un any d'antiguitat,451
2017,2,Eixample,10,Sant Antoni,Menys d'un any d'antiguitat,265
2017,3,Sants-Montjuïc,11,el Poble Sec,Menys d'un any d'antiguitat,188
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Menys d'un any d'antiguitat,23
2017,3,Sants-Montjuïc,13,la Marina de Port,Menys d'un any d'antiguitat,209
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Menys d'un any d'antiguitat,86
2017,3,Sants-Montjuïc,15,Hostafrancs,Menys d'un any d'antiguitat,96
2017,3,Sants-Montjuïc,16,la Bordeta,Menys d'un any d'antiguitat,114
2017,3,Sants-Montjuïc,17,Sants - Badal,Menys d'un any d'antiguitat,148
2017,3,Sants-Montjuïc,18,Sants,Menys d'un any d'antiguitat,278
2017,4,Les Corts,19,les Corts,Menys d'un any d'antiguitat,416
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Menys d'un any d'antiguitat,189
2017,4,Les Corts,21,Pedralbes,Menys d'un any d'antiguitat,167
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Menys d'un any d'antiguitat,43
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Menys d'un any d'antiguitat,267
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Menys d'un any d'antiguitat,224
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Menys d'un any d'antiguitat,380
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Menys d'un any d'antiguitat,745
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Menys d'un any d'antiguitat,345
2017,6,Gràcia,28,Vallcarca i els Penitents,Menys d'un any d'antiguitat,166
2017,6,Gràcia,29,el Coll,Menys d'un any d'antiguitat,63
2017,6,Gràcia,30,la Salut,Menys d'un any d'antiguitat,113
2017,6,Gràcia,31,la Vila de Gràcia,Menys d'un any d'antiguitat,386
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Menys d'un any d'antiguitat,298
2017,7,Horta-Guinardó,33,el Baix Guinardó,Menys d'un any d'antiguitat,194
2017,7,Horta-Guinardó,34,Can Baró,Menys d'un any d'antiguitat,109
2017,7,Horta-Guinardó,35,el Guinardó,Menys d'un any d'antiguitat,252
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Menys d'un any d'antiguitat,93
2017,7,Horta-Guinardó,37,el Carmel,Menys d'un any d'antiguitat,246
2017,7,Horta-Guinardó,38,la Teixonera,Menys d'un any d'antiguitat,86
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Menys d'un any d'antiguitat,48
2017,7,Horta-Guinardó,40,Montbau,Menys d'un any d'antiguitat,32
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Menys d'un any d'antiguitat,39
2017,7,Horta-Guinardó,42,la Clota,Menys d'un any d'antiguitat,4
2017,7,Horta-Guinardó,43,Horta,Menys d'un any d'antiguitat,210
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Menys d'un any d'antiguitat,165
2017,8,Nou Barris,45,Porta,Menys d'un any d'antiguitat,122
2017,8,Nou Barris,46,el Turó de la Peira,Menys d'un any d'antiguitat,76
2017,8,Nou Barris,47,Can Peguera,Menys d'un any d'antiguitat,18
2017,8,Nou Barris,48,la Guineueta,Menys d'un any d'antiguitat,71
2017,8,Nou Barris,49,Canyelles,Menys d'un any d'antiguitat,43
2017,8,Nou Barris,50,les Roquetes,Menys d'un any d'antiguitat,60
2017,8,Nou Barris,51,Verdun,Menys d'un any d'antiguitat,57
2017,8,Nou Barris,52,la Prosperitat,Menys d'un any d'antiguitat,151
2017,8,Nou Barris,53,la Trinitat Nova,Menys d'un any d'antiguitat,22
2017,8,Nou Barris,54,Torre Baró,Menys d'un any d'antiguitat,14
2017,8,Nou Barris,55,Ciutat Meridiana,Menys d'un any d'antiguitat,21
2017,8,Nou Barris,56,Vallbona,Menys d'un any d'antiguitat,3
2017,9,Sant Andreu,57,la Trinitat Vella,Menys d'un any d'antiguitat,46
2017,9,Sant Andreu,58,Baró de Viver,Menys d'un any d'antiguitat,4
2017,9,Sant Andreu,59,el Bon Pastor,Menys d'un any d'antiguitat,82
2017,9,Sant Andreu,60,Sant Andreu,Menys d'un any d'antiguitat,372
2017,9,Sant Andreu,61,la Sagrera,Menys d'un any d'antiguitat,147
2017,9,Sant Andreu,62,el Congrés i els Indians,Menys d'un any d'antiguitat,63
2017,9,Sant Andreu,63,Navas,Menys d'un any d'antiguitat,159
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Menys d'un any d'antiguitat,256
2017,10,Sant Martí,65,el Clot,Menys d'un any d'antiguitat,176
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Menys d'un any d'antiguitat,105
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Menys d'un any d'antiguitat,88
2017,10,Sant Martí,68,el Poblenou,Menys d'un any d'antiguitat,227
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Menys d'un any d'antiguitat,107
2017,10,Sant Martí,70,el Besòs i el Maresme,Menys d'un any d'antiguitat,90
2017,10,Sant Martí,71,Provençals del Poblenou,Menys d'un any d'antiguitat,142
2017,10,Sant Martí,72,Sant Martí de Provençals,Menys d'un any d'antiguitat,137
2017,10,Sant Martí,73,la Verneda i la Pau,Menys d'un any d'antiguitat,141
2017,99,No consta,99,No consta,Menys d'un any d'antiguitat,3
2017,1,Ciutat Vella,1,el Raval,1 any,219
2017,1,Ciutat Vella,2,el Barri Gòtic,1 any,161
2017,1,Ciutat Vella,3,la Barceloneta,1 any,123
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 any,164
2017,2,Eixample,5,el Fort Pienc,1 any,269
2017,2,Eixample,6,la Sagrada Família,1 any,419
2017,2,Eixample,7,la Dreta de l'Eixample,1 any,489
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 any,420
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,1 any,534
2017,2,Eixample,10,Sant Antoni,1 any,300
2017,3,Sants-Montjuïc,11,el Poble Sec,1 any,223
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 any,24
2017,3,Sants-Montjuïc,13,la Marina de Port,1 any,257
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,1 any,97
2017,3,Sants-Montjuïc,15,Hostafrancs,1 any,89
2017,3,Sants-Montjuïc,16,la Bordeta,1 any,116
2017,3,Sants-Montjuïc,17,Sants - Badal,1 any,155
2017,3,Sants-Montjuïc,18,Sants,1 any,301
2017,4,Les Corts,19,les Corts,1 any,442
2017,4,Les Corts,20,la Maternitat i Sant Ramon,1 any,208
2017,4,Les Corts,21,Pedralbes,1 any,164
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 any,48
2017,5,Sarrià-Sant Gervasi,23,Sarrià,1 any,280
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 any,199
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 any,311
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 any,711
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 any,316
2017,6,Gràcia,28,Vallcarca i els Penitents,1 any,142
2017,6,Gràcia,29,el Coll,1 any,63
2017,6,Gràcia,30,la Salut,1 any,148
2017,6,Gràcia,31,la Vila de Gràcia,1 any,445
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 any,310
2017,7,Horta-Guinardó,33,el Baix Guinardó,1 any,227
2017,7,Horta-Guinardó,34,Can Baró,1 any,81
2017,7,Horta-Guinardó,35,el Guinardó,1 any,276
2017,7,Horta-Guinardó,36,la Font d'en Fargues,1 any,89
2017,7,Horta-Guinardó,37,el Carmel,1 any,221
2017,7,Horta-Guinardó,38,la Teixonera,1 any,115
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 any,63
2017,7,Horta-Guinardó,40,Montbau,1 any,34
2017,7,Horta-Guinardó,41,la Vall d'Hebron,1 any,40
2017,7,Horta-Guinardó,42,la Clota,1 any,4
2017,7,Horta-Guinardó,43,Horta,1 any,212
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 any,161
2017,8,Nou Barris,45,Porta,1 any,126
2017,8,Nou Barris,46,el Turó de la Peira,1 any,79
2017,8,Nou Barris,47,Can Peguera,1 any,10
2017,8,Nou Barris,48,la Guineueta,1 any,84
2017,8,Nou Barris,49,Canyelles,1 any,41
2017,8,Nou Barris,50,les Roquetes,1 any,63
2017,8,Nou Barris,51,Verdun,1 any,55
2017,8,Nou Barris,52,la Prosperitat,1 any,134
2017,8,Nou Barris,53,la Trinitat Nova,1 any,35
2017,8,Nou Barris,54,Torre Baró,1 any,7
2017,8,Nou Barris,55,Ciutat Meridiana,1 any,33
2017,8,Nou Barris,56,Vallbona,1 any,6
2017,9,Sant Andreu,57,la Trinitat Vella,1 any,38
2017,9,Sant Andreu,58,Baró de Viver,1 any,11
2017,9,Sant Andreu,59,el Bon Pastor,1 any,62
2017,9,Sant Andreu,60,Sant Andreu,1 any,395
2017,9,Sant Andreu,61,la Sagrera,1 any,188
2017,9,Sant Andreu,62,el Congrés i els Indians,1 any,66
2017,9,Sant Andreu,63,Navas,1 any,130
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,1 any,277
2017,10,Sant Martí,65,el Clot,1 any,205
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1 any,123
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,1 any,99
2017,10,Sant Martí,68,el Poblenou,1 any,242
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1 any,118
2017,10,Sant Martí,70,el Besòs i el Maresme,1 any,86
2017,10,Sant Martí,71,Provençals del Poblenou,1 any,165
2017,10,Sant Martí,72,Sant Martí de Provençals,1 any,149
2017,10,Sant Martí,73,la Verneda i la Pau,1 any,151
2017,99,No consta,99,No consta,1 any,8
2017,1,Ciutat Vella,1,el Raval,2 anys,163
2017,1,Ciutat Vella,2,el Barri Gòtic,2 anys,279
2017,1,Ciutat Vella,3,la Barceloneta,2 anys,80
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",2 anys,132
2017,2,Eixample,5,el Fort Pienc,2 anys,223
2017,2,Eixample,6,la Sagrada Família,2 anys,344
2017,2,Eixample,7,la Dreta de l'Eixample,2 anys,452
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2 anys,440
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,2 anys,453
2017,2,Eixample,10,Sant Antoni,2 anys,263
2017,3,Sants-Montjuïc,11,el Poble Sec,2 anys,201
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2 anys,24
2017,3,Sants-Montjuïc,13,la Marina de Port,2 anys,197
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,2 anys,66
2017,3,Sants-Montjuïc,15,Hostafrancs,2 anys,93
2017,3,Sants-Montjuïc,16,la Bordeta,2 anys,123
2017,3,Sants-Montjuïc,17,Sants - Badal,2 anys,123
2017,3,Sants-Montjuïc,18,Sants,2 anys,260
2017,4,Les Corts,19,les Corts,2 anys,418
2017,4,Les Corts,20,la Maternitat i Sant Ramon,2 anys,215
2017,4,Les Corts,21,Pedralbes,2 anys,127
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2 anys,42
2017,5,Sarrià-Sant Gervasi,23,Sarrià,2 anys,282
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,2 anys,219
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2 anys,297
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2 anys,571
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,2 anys,327
2017,6,Gràcia,28,Vallcarca i els Penitents,2 anys,137
2017,6,Gràcia,29,el Coll,2 anys,64
2017,6,Gràcia,30,la Salut,2 anys,114
2017,6,Gràcia,31,la Vila de Gràcia,2 anys,354
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,2 anys,266
2017,7,Horta-Guinardó,33,el Baix Guinardó,2 anys,188
2017,7,Horta-Guinardó,34,Can Baró,2 anys,68
2017,7,Horta-Guinardó,35,el Guinardó,2 anys,270
2017,7,Horta-Guinardó,36,la Font d'en Fargues,2 anys,85
2017,7,Horta-Guinardó,37,el Carmel,2 anys,211
2017,7,Horta-Guinardó,38,la Teixonera,2 anys,88
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,2 anys,48
2017,7,Horta-Guinardó,40,Montbau,2 anys,28
2017,7,Horta-Guinardó,41,la Vall d'Hebron,2 anys,37
2017,7,Horta-Guinardó,42,la Clota,2 anys,5
2017,7,Horta-Guinardó,43,Horta,2 anys,189
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2 anys,131
2017,8,Nou Barris,45,Porta,2 anys,127
2017,8,Nou Barris,46,el Turó de la Peira,2 anys,64
2017,8,Nou Barris,47,Can Peguera,2 anys,13
2017,8,Nou Barris,48,la Guineueta,2 anys,93
2017,8,Nou Barris,49,Canyelles,2 anys,46
2017,8,Nou Barris,50,les Roquetes,2 anys,76
2017,8,Nou Barris,51,Verdun,2 anys,50
2017,8,Nou Barris,52,la Prosperitat,2 anys,143
2017,8,Nou Barris,53,la Trinitat Nova,2 anys,28
2017,8,Nou Barris,54,Torre Baró,2 anys,13
2017,8,Nou Barris,55,Ciutat Meridiana,2 anys,27
2017,8,Nou Barris,56,Vallbona,2 anys,2
2017,9,Sant Andreu,57,la Trinitat Vella,2 anys,30
2017,9,Sant Andreu,58,Baró de Viver,2 anys,8
2017,9,Sant Andreu,59,el Bon Pastor,2 anys,66
2017,9,Sant Andreu,60,Sant Andreu,2 anys,341
2017,9,Sant Andreu,61,la Sagrera,2 anys,163
2017,9,Sant Andreu,62,el Congrés i els Indians,2 anys,61
2017,9,Sant Andreu,63,Navas,2 anys,124
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,2 anys,223
2017,10,Sant Martí,65,el Clot,2 anys,140
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,2 anys,118
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,2 anys,83
2017,10,Sant Martí,68,el Poblenou,2 anys,240
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,2 anys,109
2017,10,Sant Martí,70,el Besòs i el Maresme,2 anys,68
2017,10,Sant Martí,71,Provençals del Poblenou,2 anys,131
2017,10,Sant Martí,72,Sant Martí de Provençals,2 anys,135
2017,10,Sant Martí,73,la Verneda i la Pau,2 anys,126
2017,99,No consta,99,No consta,2 anys,3
2017,1,Ciutat Vella,1,el Raval,3 anys,143
2017,1,Ciutat Vella,2,el Barri Gòtic,3 anys,162
2017,1,Ciutat Vella,3,la Barceloneta,3 anys,67
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3 anys,115
2017,2,Eixample,5,el Fort Pienc,3 anys,183
2017,2,Eixample,6,la Sagrada Família,3 anys,317
2017,2,Eixample,7,la Dreta de l'Eixample,3 anys,420
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3 anys,379
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,3 anys,387
2017,2,Eixample,10,Sant Antoni,3 anys,186
2017,3,Sants-Montjuïc,11,el Poble Sec,3 anys,161
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,3 anys,9
2017,3,Sants-Montjuïc,13,la Marina de Port,3 anys,169
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,3 anys,70
2017,3,Sants-Montjuïc,15,Hostafrancs,3 anys,86
2017,3,Sants-Montjuïc,16,la Bordeta,3 anys,96
2017,3,Sants-Montjuïc,17,Sants - Badal,3 anys,105
2017,3,Sants-Montjuïc,18,Sants,3 anys,202
2017,4,Les Corts,19,les Corts,3 anys,334
2017,4,Les Corts,20,la Maternitat i Sant Ramon,3 anys,157
2017,4,Les Corts,21,Pedralbes,3 anys,129
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",3 anys,43
2017,5,Sarrià-Sant Gervasi,23,Sarrià,3 anys,265
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,3 anys,212
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,3 anys,309
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,3 anys,549
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,3 anys,269
2017,6,Gràcia,28,Vallcarca i els Penitents,3 anys,123
2017,6,Gràcia,29,el Coll,3 anys,57
2017,6,Gràcia,30,la Salut,3 anys,97
2017,6,Gràcia,31,la Vila de Gràcia,3 anys,303
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,3 anys,229
2017,7,Horta-Guinardó,33,el Baix Guinardó,3 anys,165
2017,7,Horta-Guinardó,34,Can Baró,3 anys,80
2017,7,Horta-Guinardó,35,el Guinardó,3 anys,206
2017,7,Horta-Guinardó,36,la Font d'en Fargues,3 anys,89
2017,7,Horta-Guinardó,37,el Carmel,3 anys,188
2017,7,Horta-Guinardó,38,la Teixonera,3 anys,81
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,3 anys,31
2017,7,Horta-Guinardó,40,Montbau,3 anys,26
2017,7,Horta-Guinardó,41,la Vall d'Hebron,3 anys,32
2017,7,Horta-Guinardó,42,la Clota,3 anys,2
2017,7,Horta-Guinardó,43,Horta,3 anys,158
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,3 anys,114
2017,8,Nou Barris,45,Porta,3 anys,100
2017,8,Nou Barris,46,el Turó de la Peira,3 anys,55
2017,8,Nou Barris,47,Can Peguera,3 anys,7
2017,8,Nou Barris,48,la Guineueta,3 anys,67
2017,8,Nou Barris,49,Canyelles,3 anys,25
2017,8,Nou Barris,50,les Roquetes,3 anys,58
2017,8,Nou Barris,51,Verdun,3 anys,48
2017,8,Nou Barris,52,la Prosperitat,3 anys,99
2017,8,Nou Barris,53,la Trinitat Nova,3 anys,13
2017,8,Nou Barris,54,Torre Baró,3 anys,9
2017,8,Nou Barris,55,Ciutat Meridiana,3 anys,14
2017,8,Nou Barris,56,Vallbona,3 anys,7
2017,9,Sant Andreu,57,la Trinitat Vella,3 anys,28
2017,9,Sant Andreu,58,Baró de Viver,3 anys,8
2017,9,Sant Andreu,59,el Bon Pastor,3 anys,68
2017,9,Sant Andreu,60,Sant Andreu,3 anys,294
2017,9,Sant Andreu,61,la Sagrera,3 anys,143
2017,9,Sant Andreu,62,el Congrés i els Indians,3 anys,66
2017,9,Sant Andreu,63,Navas,3 anys,105
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,3 anys,178
2017,10,Sant Martí,65,el Clot,3 anys,140
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,3 anys,94
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,3 anys,77
2017,10,Sant Martí,68,el Poblenou,3 anys,182
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,3 anys,89
2017,10,Sant Martí,70,el Besòs i el Maresme,3 anys,67
2017,10,Sant Martí,71,Provençals del Poblenou,3 anys,128
2017,10,Sant Martí,72,Sant Martí de Provençals,3 anys,118
2017,10,Sant Martí,73,la Verneda i la Pau,3 anys,124
2017,99,No consta,99,No consta,3 anys,11
2017,1,Ciutat Vella,1,el Raval,4 anys,98
2017,1,Ciutat Vella,2,el Barri Gòtic,4 anys,223
2017,1,Ciutat Vella,3,la Barceloneta,4 anys,307
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",4 anys,142
2017,2,Eixample,5,el Fort Pienc,4 anys,160
2017,2,Eixample,6,la Sagrada Família,4 anys,281
2017,2,Eixample,7,la Dreta de l'Eixample,4 anys,361
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4 anys,326
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,4 anys,305
2017,2,Eixample,10,Sant Antoni,4 anys,197
2017,3,Sants-Montjuïc,11,el Poble Sec,4 anys,143
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,4 anys,10
2017,3,Sants-Montjuïc,13,la Marina de Port,4 anys,147
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,4 anys,65
2017,3,Sants-Montjuïc,15,Hostafrancs,4 anys,67
2017,3,Sants-Montjuïc,16,la Bordeta,4 anys,95
2017,3,Sants-Montjuïc,17,Sants - Badal,4 anys,94
2017,3,Sants-Montjuïc,18,Sants,4 anys,180
2017,4,Les Corts,19,les Corts,4 anys,284
2017,4,Les Corts,20,la Maternitat i Sant Ramon,4 anys,134
2017,4,Les Corts,21,Pedralbes,4 anys,101
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4 anys,31
2017,5,Sarrià-Sant Gervasi,23,Sarrià,4 anys,228
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,4 anys,172
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,4 anys,279
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,4 anys,480
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,4 anys,244
2017,6,Gràcia,28,Vallcarca i els Penitents,4 anys,108
2017,6,Gràcia,29,el Coll,4 anys,55
2017,6,Gràcia,30,la Salut,4 anys,90
2017,6,Gràcia,31,la Vila de Gràcia,4 anys,288
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,4 anys,189
2017,7,Horta-Guinardó,33,el Baix Guinardó,4 anys,124
2017,7,Horta-Guinardó,34,Can Baró,4 anys,61
2017,7,Horta-Guinardó,35,el Guinardó,4 anys,169
2017,7,Horta-Guinardó,36,la Font d'en Fargues,4 anys,78
2017,7,Horta-Guinardó,37,el Carmel,4 anys,156
2017,7,Horta-Guinardó,38,la Teixonera,4 anys,73
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,4 anys,32
2017,7,Horta-Guinardó,40,Montbau,4 anys,31
2017,7,Horta-Guinardó,41,la Vall d'Hebron,4 anys,22
2017,7,Horta-Guinardó,42,la Clota,4 anys,1
2017,7,Horta-Guinardó,43,Horta,4 anys,140
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,4 anys,103
