Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Cilindrada_motos,Nombre_motos
2013,1,Ciutat Vella,1,el Raval,Fins a 75 cc,119
2013,1,Ciutat Vella,2,el Barri Gòtic,Fins a 75 cc,71
2013,1,Ciutat Vella,3,la Barceloneta,Fins a 75 cc,56
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Fins a 75 cc,125
2013,2,Eixample,5,el Fort Pienc,Fins a 75 cc,185
2013,2,Eixample,6,la Sagrada Família,Fins a 75 cc,235
2013,2,Eixample,7,la Dreta de l'Eixample,Fins a 75 cc,446
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Fins a 75 cc,367
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Fins a 75 cc,411
2013,2,Eixample,10,Sant Antoni,Fins a 75 cc,198
2013,3,Sants-Montjuïc,11,el Poble Sec,Fins a 75 cc,149
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Fins a 75 cc,9
2013,3,Sants-Montjuïc,13,la Marina de Port,Fins a 75 cc,92
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Fins a 75 cc,46
2013,3,Sants-Montjuïc,15,Hostafrancs,Fins a 75 cc,58
2013,3,Sants-Montjuïc,16,la Bordeta,Fins a 75 cc,84
2013,3,Sants-Montjuïc,17,Sants - Badal,Fins a 75 cc,106
2013,3,Sants-Montjuïc,18,Sants,Fins a 75 cc,206
2013,4,Les Corts,19,les Corts,Fins a 75 cc,438
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Fins a 75 cc,207
2013,4,Les Corts,21,Pedralbes,Fins a 75 cc,251
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Fins a 75 cc,37
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Fins a 75 cc,390
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Fins a 75 cc,367
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Fins a 75 cc,514
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Fins a 75 cc,1019
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Fins a 75 cc,419
2013,6,Gràcia,28,Vallcarca i els Penitents,Fins a 75 cc,153
2013,6,Gràcia,29,el Coll,Fins a 75 cc,47
2013,6,Gràcia,30,la Salut,Fins a 75 cc,122
2013,6,Gràcia,31,la Vila de Gràcia,Fins a 75 cc,370
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Fins a 75 cc,209
2013,7,Horta-Guinardó,33,el Baix Guinardó,Fins a 75 cc,129
2013,7,Horta-Guinardó,34,Can Baró,Fins a 75 cc,59
2013,7,Horta-Guinardó,35,el Guinardó,Fins a 75 cc,177
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Fins a 75 cc,79
2013,7,Horta-Guinardó,37,el Carmel,Fins a 75 cc,122
2013,7,Horta-Guinardó,38,la Teixonera,Fins a 75 cc,54
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Fins a 75 cc,37
2013,7,Horta-Guinardó,40,Montbau,Fins a 75 cc,15
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Fins a 75 cc,20
2013,7,Horta-Guinardó,42,la Clota,Fins a 75 cc,3
2013,7,Horta-Guinardó,43,Horta,Fins a 75 cc,125
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Fins a 75 cc,86
2013,8,Nou Barris,45,Porta,Fins a 75 cc,71
2013,8,Nou Barris,46,el Turó de la Peira,Fins a 75 cc,43
2013,8,Nou Barris,47,Can Peguera,Fins a 75 cc,9
2013,8,Nou Barris,48,la Guineueta,Fins a 75 cc,43
2013,8,Nou Barris,49,Canyelles,Fins a 75 cc,22
2013,8,Nou Barris,50,les Roquetes,Fins a 75 cc,39
2013,8,Nou Barris,51,Verdun,Fins a 75 cc,35
2013,8,Nou Barris,52,la Prosperitat,Fins a 75 cc,77
2013,8,Nou Barris,53,la Trinitat Nova,Fins a 75 cc,16
2013,8,Nou Barris,54,Torre Baró,Fins a 75 cc,19
2013,8,Nou Barris,55,Ciutat Meridiana,Fins a 75 cc,11
2013,8,Nou Barris,56,Vallbona,Fins a 75 cc,4
2013,9,Sant Andreu,57,la Trinitat Vella,Fins a 75 cc,17
2013,9,Sant Andreu,58,Baró de Viver,Fins a 75 cc,7
2013,9,Sant Andreu,59,el Bon Pastor,Fins a 75 cc,26
2013,9,Sant Andreu,60,Sant Andreu,Fins a 75 cc,187
2013,9,Sant Andreu,61,la Sagrera,Fins a 75 cc,106
2013,9,Sant Andreu,62,el Congrés i els Indians,Fins a 75 cc,58
2013,9,Sant Andreu,63,Navas,Fins a 75 cc,87
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Fins a 75 cc,184
2013,10,Sant Martí,65,el Clot,Fins a 75 cc,79
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Fins a 75 cc,72
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Fins a 75 cc,33
2013,10,Sant Martí,68,el Poblenou,Fins a 75 cc,89
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Fins a 75 cc,35
2013,10,Sant Martí,70,el Besòs i el Maresme,Fins a 75 cc,34
2013,10,Sant Martí,71,Provençals del Poblenou,Fins a 75 cc,61
2013,10,Sant Martí,72,Sant Martí de Provençals,Fins a 75 cc,97
2013,10,Sant Martí,73,la Verneda i la Pau,Fins a 75 cc,98
2013,99,No consta,99,No consta,Fins a 75 cc,157
2013,1,Ciutat Vella,1,el Raval,75 a 125 cc,1350
2013,1,Ciutat Vella,2,el Barri Gòtic,75 a 125 cc,2539
2013,1,Ciutat Vella,3,la Barceloneta,75 a 125 cc,2579
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",75 a 125 cc,1064
2013,2,Eixample,5,el Fort Pienc,75 a 125 cc,1933
2013,2,Eixample,6,la Sagrada Família,75 a 125 cc,3092
2013,2,Eixample,7,la Dreta de l'Eixample,75 a 125 cc,3866
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,75 a 125 cc,3365
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,75 a 125 cc,3979
2013,2,Eixample,10,Sant Antoni,75 a 125 cc,2130
2013,3,Sants-Montjuïc,11,el Poble Sec,75 a 125 cc,1826
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,75 a 125 cc,182
2013,3,Sants-Montjuïc,13,la Marina de Port,75 a 125 cc,1460
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,75 a 125 cc,587
2013,3,Sants-Montjuïc,15,Hostafrancs,75 a 125 cc,771
2013,3,Sants-Montjuïc,16,la Bordeta,75 a 125 cc,963
2013,3,Sants-Montjuïc,17,Sants - Badal,75 a 125 cc,1174
2013,3,Sants-Montjuïc,18,Sants,75 a 125 cc,2223
2013,4,Les Corts,19,les Corts,75 a 125 cc,3515
2013,4,Les Corts,20,la Maternitat i Sant Ramon,75 a 125 cc,1852
2013,4,Les Corts,21,Pedralbes,75 a 125 cc,1414
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",75 a 125 cc,299
2013,5,Sarrià-Sant Gervasi,23,Sarrià,75 a 125 cc,2731
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,75 a 125 cc,2125
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,75 a 125 cc,3103
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,75 a 125 cc,6230
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,75 a 125 cc,3078
2013,6,Gràcia,28,Vallcarca i els Penitents,75 a 125 cc,1260
2013,6,Gràcia,29,el Coll,75 a 125 cc,627
2013,6,Gràcia,30,la Salut,75 a 125 cc,1194
2013,6,Gràcia,31,la Vila de Gràcia,75 a 125 cc,3605
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,75 a 125 cc,2514
2013,7,Horta-Guinardó,33,el Baix Guinardó,75 a 125 cc,1710
2013,7,Horta-Guinardó,34,Can Baró,75 a 125 cc,732
2013,7,Horta-Guinardó,35,el Guinardó,75 a 125 cc,2086
2013,7,Horta-Guinardó,36,la Font d'en Fargues,75 a 125 cc,899
2013,7,Horta-Guinardó,37,el Carmel,75 a 125 cc,1964
2013,7,Horta-Guinardó,38,la Teixonera,75 a 125 cc,676
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,75 a 125 cc,325
2013,7,Horta-Guinardó,40,Montbau,75 a 125 cc,215
2013,7,Horta-Guinardó,41,la Vall d'Hebron,75 a 125 cc,300
2013,7,Horta-Guinardó,42,la Clota,75 a 125 cc,21
2013,7,Horta-Guinardó,43,Horta,75 a 125 cc,1483
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,75 a 125 cc,1213
2013,8,Nou Barris,45,Porta,75 a 125 cc,933
2013,8,Nou Barris,46,el Turó de la Peira,75 a 125 cc,533
2013,8,Nou Barris,47,Can Peguera,75 a 125 cc,98
2013,8,Nou Barris,48,la Guineueta,75 a 125 cc,608
2013,8,Nou Barris,49,Canyelles,75 a 125 cc,290
2013,8,Nou Barris,50,les Roquetes,75 a 125 cc,519
2013,8,Nou Barris,51,Verdun,75 a 125 cc,407
2013,8,Nou Barris,52,la Prosperitat,75 a 125 cc,1041
2013,8,Nou Barris,53,la Trinitat Nova,75 a 125 cc,207
2013,8,Nou Barris,54,Torre Baró,75 a 125 cc,76
2013,8,Nou Barris,55,Ciutat Meridiana,75 a 125 cc,209
2013,8,Nou Barris,56,Vallbona,75 a 125 cc,42
2013,9,Sant Andreu,57,la Trinitat Vella,75 a 125 cc,309
2013,9,Sant Andreu,58,Baró de Viver,75 a 125 cc,90
2013,9,Sant Andreu,59,el Bon Pastor,75 a 125 cc,468
2013,9,Sant Andreu,60,Sant Andreu,75 a 125 cc,2667
2013,9,Sant Andreu,61,la Sagrera,75 a 125 cc,1313
2013,9,Sant Andreu,62,el Congrés i els Indians,75 a 125 cc,642
2013,9,Sant Andreu,63,Navas,75 a 125 cc,1075
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,75 a 125 cc,2058
2013,10,Sant Martí,65,el Clot,75 a 125 cc,1347
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,75 a 125 cc,848
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,75 a 125 cc,646
2013,10,Sant Martí,68,el Poblenou,75 a 125 cc,1483
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,75 a 125 cc,746
2013,10,Sant Martí,70,el Besòs i el Maresme,75 a 125 cc,603
2013,10,Sant Martí,71,Provençals del Poblenou,75 a 125 cc,929
2013,10,Sant Martí,72,Sant Martí de Provençals,75 a 125 cc,1115
2013,10,Sant Martí,73,la Verneda i la Pau,75 a 125 cc,1033
2013,99,No consta,99,No consta,75 a 125 cc,1411
2013,1,Ciutat Vella,1,el Raval,126 a 200,246
2013,1,Ciutat Vella,2,el Barri Gòtic,126 a 200,271
2013,1,Ciutat Vella,3,la Barceloneta,126 a 200,124
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",126 a 200,195
2013,2,Eixample,5,el Fort Pienc,126 a 200,355
2013,2,Eixample,6,la Sagrada Família,126 a 200,544
2013,2,Eixample,7,la Dreta de l'Eixample,126 a 200,829
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,126 a 200,722
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,126 a 200,745
2013,2,Eixample,10,Sant Antoni,126 a 200,400
2013,3,Sants-Montjuïc,11,el Poble Sec,126 a 200,367
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,126 a 200,28
2013,3,Sants-Montjuïc,13,la Marina de Port,126 a 200,200
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,126 a 200,95
2013,3,Sants-Montjuïc,15,Hostafrancs,126 a 200,117
2013,3,Sants-Montjuïc,16,la Bordeta,126 a 200,136
2013,3,Sants-Montjuïc,17,Sants - Badal,126 a 200,181
2013,3,Sants-Montjuïc,18,Sants,126 a 200,376
2013,4,Les Corts,19,les Corts,126 a 200,714
2013,4,Les Corts,20,la Maternitat i Sant Ramon,126 a 200,368
2013,4,Les Corts,21,Pedralbes,126 a 200,352
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",126 a 200,95
2013,5,Sarrià-Sant Gervasi,23,Sarrià,126 a 200,650
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,126 a 200,518
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,126 a 200,747
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,126 a 200,1426
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,126 a 200,657
2013,6,Gràcia,28,Vallcarca i els Penitents,126 a 200,263
2013,6,Gràcia,29,el Coll,126 a 200,106
2013,6,Gràcia,30,la Salut,126 a 200,221
2013,6,Gràcia,31,la Vila de Gràcia,126 a 200,689
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,126 a 200,492
2013,7,Horta-Guinardó,33,el Baix Guinardó,126 a 200,311
2013,7,Horta-Guinardó,34,Can Baró,126 a 200,116
2013,7,Horta-Guinardó,35,el Guinardó,126 a 200,439
2013,7,Horta-Guinardó,36,la Font d'en Fargues,126 a 200,153
2013,7,Horta-Guinardó,37,el Carmel,126 a 200,288
2013,7,Horta-Guinardó,38,la Teixonera,126 a 200,119
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,126 a 200,59
2013,7,Horta-Guinardó,40,Montbau,126 a 200,43
2013,7,Horta-Guinardó,41,la Vall d'Hebron,126 a 200,45
2013,7,Horta-Guinardó,42,la Clota,126 a 200,1
2013,7,Horta-Guinardó,43,Horta,126 a 200,285
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,126 a 200,181
2013,8,Nou Barris,45,Porta,126 a 200,117
2013,8,Nou Barris,46,el Turó de la Peira,126 a 200,61
2013,8,Nou Barris,47,Can Peguera,126 a 200,13
2013,8,Nou Barris,48,la Guineueta,126 a 200,83
2013,8,Nou Barris,49,Canyelles,126 a 200,29
2013,8,Nou Barris,50,les Roquetes,126 a 200,61
2013,8,Nou Barris,51,Verdun,126 a 200,46
2013,8,Nou Barris,52,la Prosperitat,126 a 200,109
2013,8,Nou Barris,53,la Trinitat Nova,126 a 200,17
2013,8,Nou Barris,54,Torre Baró,126 a 200,11
2013,8,Nou Barris,55,Ciutat Meridiana,126 a 200,29
2013,8,Nou Barris,56,Vallbona,126 a 200,7
2013,9,Sant Andreu,57,la Trinitat Vella,126 a 200,31
2013,9,Sant Andreu,58,Baró de Viver,126 a 200,8
2013,9,Sant Andreu,59,el Bon Pastor,126 a 200,53
2013,9,Sant Andreu,60,Sant Andreu,126 a 200,379
2013,9,Sant Andreu,61,la Sagrera,126 a 200,228
2013,9,Sant Andreu,62,el Congrés i els Indians,126 a 200,115
2013,9,Sant Andreu,63,Navas,126 a 200,171
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,126 a 200,375
2013,10,Sant Martí,65,el Clot,126 a 200,211
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,126 a 200,161
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,126 a 200,118
2013,10,Sant Martí,68,el Poblenou,126 a 200,227
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,126 a 200,114
2013,10,Sant Martí,70,el Besòs i el Maresme,126 a 200,76
2013,10,Sant Martí,71,Provençals del Poblenou,126 a 200,118
2013,10,Sant Martí,72,Sant Martí de Provençals,126 a 200,178
2013,10,Sant Martí,73,la Verneda i la Pau,126 a 200,146
2013,99,No consta,99,No consta,126 a 200,267
2013,1,Ciutat Vella,1,el Raval,201 a 250 cc,233
2013,1,Ciutat Vella,2,el Barri Gòtic,201 a 250 cc,486
2013,1,Ciutat Vella,3,la Barceloneta,201 a 250 cc,88
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",201 a 250 cc,158
2013,2,Eixample,5,el Fort Pienc,201 a 250 cc,336
2013,2,Eixample,6,la Sagrada Família,201 a 250 cc,505
2013,2,Eixample,7,la Dreta de l'Eixample,201 a 250 cc,665
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,201 a 250 cc,551
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,201 a 250 cc,707
2013,2,Eixample,10,Sant Antoni,201 a 250 cc,418
2013,3,Sants-Montjuïc,11,el Poble Sec,201 a 250 cc,310
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,201 a 250 cc,43
2013,3,Sants-Montjuïc,13,la Marina de Port,201 a 250 cc,253
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,201 a 250 cc,122
2013,3,Sants-Montjuïc,15,Hostafrancs,201 a 250 cc,123
2013,3,Sants-Montjuïc,16,la Bordeta,201 a 250 cc,191
2013,3,Sants-Montjuïc,17,Sants - Badal,201 a 250 cc,207
2013,3,Sants-Montjuïc,18,Sants,201 a 250 cc,420
2013,4,Les Corts,19,les Corts,201 a 250 cc,675
2013,4,Les Corts,20,la Maternitat i Sant Ramon,201 a 250 cc,309
2013,4,Les Corts,21,Pedralbes,201 a 250 cc,253
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",201 a 250 cc,90
2013,5,Sarrià-Sant Gervasi,23,Sarrià,201 a 250 cc,454
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,201 a 250 cc,345
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,201 a 250 cc,470
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,201 a 250 cc,1057
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,201 a 250 cc,474
2013,6,Gràcia,28,Vallcarca i els Penitents,201 a 250 cc,198
2013,6,Gràcia,29,el Coll,201 a 250 cc,92
2013,6,Gràcia,30,la Salut,201 a 250 cc,179
2013,6,Gràcia,31,la Vila de Gràcia,201 a 250 cc,568
