Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipologia_parc,Nombre_vehicles
2015,1,Ciutat Vella,1,el Raval,Turismes,6374
2015,1,Ciutat Vella,2,el Barri Gòtic,Turismes,6350
2015,1,Ciutat Vella,3,la Barceloneta,Turismes,3656
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,4488
2015,2,Eixample,5,el Fort Pienc,Turismes,10905
2015,2,Eixample,6,la Sagrada Família,Turismes,15981
2015,2,Eixample,7,la Dreta de l'Eixample,Turismes,19937
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,15601
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,21701
2015,2,Eixample,10,Sant Antoni,Turismes,11582
2015,3,Sants-Montjuïc,11,el Poble Sec,Turismes,9583
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Turismes,3778
2015,3,Sants-Montjuïc,13,la Marina de Port,Turismes,10771
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Turismes,5332
2015,3,Sants-Montjuïc,15,Hostafrancs,Turismes,4818
2015,3,Sants-Montjuïc,16,la Bordeta,Turismes,11348
2015,3,Sants-Montjuïc,17,Sants - Badal,Turismes,7691
2015,3,Sants-Montjuïc,18,Sants,Turismes,12463
2015,4,Les Corts,19,les Corts,Turismes,21129
2015,4,Les Corts,20,la Maternitat i Sant Ramon,Turismes,9980
2015,4,Les Corts,21,Pedralbes,Turismes,9798
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Turismes,1951
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Turismes,10770
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Turismes,10053
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Turismes,11660
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Turismes,25529
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Turismes,11627
2015,6,Gràcia,28,Vallcarca i els Penitents,Turismes,5863
2015,6,Gràcia,29,el Coll,Turismes,2286
2015,6,Gràcia,30,la Salut,Turismes,4900
2015,6,Gràcia,31,la Vila de Gràcia,Turismes,13731
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Turismes,11631
2015,7,Horta-Guinardó,33,el Baix Guinardó,Turismes,8281
2015,7,Horta-Guinardó,34,Can Baró,Turismes,3024
2015,7,Horta-Guinardó,35,el Guinardó,Turismes,11878
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Turismes,4033
2015,7,Horta-Guinardó,37,el Carmel,Turismes,9663
2015,7,Horta-Guinardó,38,la Teixonera,Turismes,3850
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,Turismes,2862
2015,7,Horta-Guinardó,40,Montbau,Turismes,1741
2015,7,Horta-Guinardó,41,la Vall d'Hebron,Turismes,2173
2015,7,Horta-Guinardó,42,la Clota,Turismes,154
2015,7,Horta-Guinardó,43,Horta,Turismes,9186
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Turismes,8084
2015,8,Nou Barris,45,Porta,Turismes,7758
2015,8,Nou Barris,46,el Turó de la Peira,Turismes,3662
2015,8,Nou Barris,47,Can Peguera,Turismes,634
2015,8,Nou Barris,48,la Guineueta,Turismes,5264
2015,8,Nou Barris,49,Canyelles,Turismes,2932
2015,8,Nou Barris,50,les Roquetes,Turismes,4714
